lon,lat,WDIR planetary boundary layer d=2018102300 48 hour fcst
243.500000,42.500000,266.297
lon,lat,WIND planetary boundary layer d=2018102300 48 hour fcst
239.250000,40.000000,3.53275
239.500000,40.000000,6.53275
239.750000,40.000000,8.53275
240.000000,40.000000,6.53275
240.250000,40.000000,5.53275
240.500000,40.000000,3.53275
240.750000,40.000000,3.53275
241.000000,40.000000,5.53275
241.250000,40.000000,5.53275
241.500000,40.000000,5.53275
241.750000,40.000000,3.53275
242.000000,40.000000,4.53275
242.250000,40.000000,3.53275
242.500000,40.000000,5.53275
242.750000,40.000000,6.53275
243.000000,40.000000,7.53275
243.250000,40.000000,7.53275
243.500000,40.000000,7.53275
239.250000,40.250000,7.53275
239.500000,40.250000,6.53275
239.750000,40.250000,5.53275
240.000000,40.250000,4.53275
240.250000,40.250000,4.53275
240.500000,40.250000,3.53275
240.750000,40.250000,4.53275
241.000000,40.250000,4.53275
241.250000,40.250000,5.53275
241.500000,40.250000,5.53275
241.750000,40.250000,6.53275
242.000000,40.250000,4.53275
242.250000,40.250000,4.53275
242.500000,40.250000,4.53275
242.750000,40.250000,5.53275
243.000000,40.250000,5.53275
243.250000,40.250000,6.53275
243.500000,40.250000,7.53275
239.250000,40.500000,6.53275
239.500000,40.500000,7.53275
239.750000,40.500000,8.53275
240.000000,40.500000,9.53275
240.250000,40.500000,6.53275
240.500000,40.500000,6.53275
240.750000,40.500000,5.53275
241.000000,40.500000,6.53275
241.250000,40.500000,7.53275
241.500000,40.500000,7.53275
241.750000,40.500000,6.53275
242.000000,40.500000,5.53275
242.250000,40.500000,4.53275
242.500000,40.500000,4.53275
242.750000,40.500000,3.53275
243.000000,40.500000,3.53275
243.250000,40.500000,5.53275
243.500000,40.500000,5.53275
239.250000,40.750000,6.53275
239.500000,40.750000,5.53275
239.750000,40.750000,5.53275
240.000000,40.750000,6.53275
240.250000,40.750000,7.53275
240.500000,40.750000,5.53275
240.750000,40.750000,4.53275
241.000000,40.750000,3.53275
241.250000,40.750000,5.53275
241.500000,40.750000,7.53275
241.750000,40.750000,8.53275
242.000000,40.750000,7.53275
242.250000,40.750000,8.53275
242.500000,40.750000,7.53275
242.750000,40.750000,6.53275
243.000000,40.750000,6.53275
243.250000,40.750000,6.53275
243.500000,40.750000,3.53275
239.250000,41.000000,7.53275
239.500000,41.000000,6.53275
239.750000,41.000000,7.53275
240.000000,41.000000,7.53275
240.250000,41.000000,8.53275
240.500000,41.000000,8.53275
240.750000,41.000000,4.53275
241.000000,41.000000,5.53275
241.250000,41.000000,3.53275
241.500000,41.000000,6.53275
241.750000,41.000000,7.53275
242.000000,41.000000,8.53275
242.250000,41.000000,8.53275
242.500000,41.000000,8.53275
242.750000,41.000000,7.53275
243.000000,41.000000,4.53275
243.250000,41.000000,6.53275
243.500000,41.000000,6.53275
239.250000,41.250000,6.53275
239.500000,41.250000,4.53275
239.750000,41.250000,4.53275
240.000000,41.250000,4.53275
240.250000,41.250000,5.53275
240.500000,41.250000,8.53275
240.750000,41.250000,7.53275
241.000000,41.250000,6.53275
241.250000,41.250000,3.53275
241.500000,41.250000,5.53275
241.750000,41.250000,4.53275
242.000000,41.250000,6.53275
242.250000,41.250000,8.53275
242.500000,41.250000,8.53275
242.750000,41.250000,6.53275
243.000000,41.250000,7.53275
243.250000,41.250000,6.53275
243.500000,41.250000,5.53275
239.250000,41.500000,4.53275
239.500000,41.500000,2.53275
239.750000,41.500000,0.532754
240.000000,41.500000,3.53275
240.250000,41.500000,8.53275
240.500000,41.500000,11.5328
240.750000,41.500000,10.5328
241.000000,41.500000,8.53275
241.250000,41.500000,4.53275
241.500000,41.500000,4.53275
241.750000,41.500000,4.53275
242.000000,41.500000,5.53275
242.250000,41.500000,4.53275
242.500000,41.500000,5.53275
242.750000,41.500000,8.53275
243.000000,41.500000,9.53275
243.250000,41.500000,9.53275
243.500000,41.500000,7.53275
239.250000,41.750000,3.53275
239.500000,41.750000,3.53275
239.750000,41.750000,1.53275
240.000000,41.750000,1.53275
240.250000,41.750000,5.53275
240.500000,41.750000,8.53275
240.750000,41.750000,10.5328
241.000000,41.750000,9.53275
241.250000,41.750000,10.5328
241.500000,41.750000,10.5328
241.750000,41.750000,7.53275
242.000000,41.750000,4.53275
242.250000,41.750000,5.53275
242.500000,41.750000,7.53275
242.750000,41.750000,6.53275
243.000000,41.750000,5.53275
243.250000,41.750000,7.53275
243.500000,41.750000,8.53275
239.250000,42.000000,4.53275
239.500000,42.000000,0.532754
239.750000,42.000000,0.532754
240.000000,42.000000,0.532754
240.250000,42.000000,2.53275
240.500000,42.000000,6.53275
240.750000,42.000000,8.53275
241.000000,42.000000,8.53275
241.250000,42.000000,9.53275
241.500000,42.000000,10.5328
241.750000,42.000000,11.5328
242.000000,42.000000,8.53275
242.250000,42.000000,6.53275
242.500000,42.000000,8.53275
242.750000,42.000000,9.53275
243.000000,42.000000,8.53275
243.250000,42.000000,8.53275
243.500000,42.000000,7.53275
239.250000,42.250000,8.53275
239.500000,42.250000,5.53275
239.750000,42.250000,4.53275
240.000000,42.250000,3.53275
240.250000,42.250000,5.53275
240.500000,42.250000,9.53275
240.750000,42.250000,8.53275
241.000000,42.250000,8.53275
241.250000,42.250000,9.53275
241.500000,42.250000,11.5328
241.750000,42.250000,10.5328
242.000000,42.250000,10.5328
242.250000,42.250000,6.53275
242.500000,42.250000,5.53275
242.750000,42.250000,7.53275
243.000000,42.250000,8.53275
243.250000,42.250000,8.53275
243.500000,42.250000,9.53275
239.250000,42.500000,10.5328
239.500000,42.500000,10.5328
239.750000,42.500000,5.53275
240.000000,42.500000,10.5328
240.250000,42.500000,5.53275
240.500000,42.500000,6.53275
240.750000,42.500000,4.53275
241.000000,42.500000,6.53275
241.250000,42.500000,10.5328
241.500000,42.500000,9.53275
241.750000,42.500000,10.5328
242.000000,42.500000,10.5328
242.250000,42.500000,7.53275
242.500000,42.500000,8.53275
242.750000,42.500000,7.53275
243.000000,42.500000,8.53275
243.250000,42.500000,6.53275
243.500000,42.500000,7.53275
lon,lat,WDIR 10 mb d=2018102300 48 hour fcst
239.250000,40.000000,245.605
239.500000,40.000000,244.175
239.750000,40.000000,243.945
240.000000,40.000000,244.555
240.250000,40.000000,245.105
240.500000,40.000000,244.895
240.750000,40.000000,244.235
241.000000,40.000000,244.275
241.250000,40.000000,245.155
241.500000,40.000000,246.235
241.750000,40.000000,247.415
242.000000,40.000000,248.185
242.250000,40.000000,248.445
242.500000,40.000000,248.455
242.750000,40.000000,248.275
243.000000,40.000000,248.085
243.250000,40.000000,248.575
243.500000,40.000000,249.205
239.250000,40.250000,248.065
239.500000,40.250000,246.975
239.750000,40.250000,246.455
240.000000,40.250000,246.935
240.250000,40.250000,247.555
240.500000,40.250000,247.305
240.750000,40.250000,246.225
241.000000,40.250000,246.025
241.250000,40.250000,247.195
241.500000,40.250000,248.205
241.750000,40.250000,249.305
242.000000,40.250000,250.325
242.250000,40.250000,250.685
242.500000,40.250000,250.665
242.750000,40.250000,250.445
243.000000,40.250000,250.135
243.250000,40.250000,250.235
243.500000,40.250000,250.815
239.250000,40.500000,250.935
239.500000,40.500000,249.945
239.750000,40.500000,249.445
240.000000,40.500000,249.635
240.250000,40.500000,250.105
240.500000,40.500000,249.685
240.750000,40.500000,248.235
241.000000,40.500000,247.395
241.250000,40.500000,248.175
241.500000,40.500000,249.285
241.750000,40.500000,250.665
242.000000,40.500000,251.865
242.250000,40.500000,252.475
242.500000,40.500000,252.375
242.750000,40.500000,251.945
243.000000,40.500000,251.345
243.250000,40.500000,251.075
243.500000,40.500000,251.505
239.250000,40.750000,253.845
239.500000,40.750000,252.895
239.750000,40.750000,252.125
240.000000,40.750000,251.975
240.250000,40.750000,252.195
240.500000,40.750000,251.545
240.750000,40.750000,249.775
241.000000,40.750000,248.375
241.250000,40.750000,248.695
241.500000,40.750000,249.825
241.750000,40.750000,251.385
242.000000,40.750000,252.835
242.250000,40.750000,253.395
242.500000,40.750000,253.085
242.750000,40.750000,252.515
243.000000,40.750000,251.895
243.250000,40.750000,251.525
243.500000,40.750000,251.625
239.250000,41.000000,255.665
239.500000,41.000000,254.575
239.750000,41.000000,253.545
240.000000,41.000000,253.065
240.250000,41.000000,252.755
240.500000,41.000000,252.335
240.750000,41.000000,251.215
241.000000,41.000000,249.925
241.250000,41.000000,249.655
241.500000,41.000000,250.335
241.750000,41.000000,251.735
242.000000,41.000000,253.305
242.250000,41.000000,253.835
242.500000,41.000000,253.335
242.750000,41.000000,252.585
243.000000,41.000000,252.485
243.250000,41.000000,252.735
243.500000,41.000000,253.005
239.250000,41.250000,256.815
239.500000,41.250000,255.985
239.750000,41.250000,254.585
240.000000,41.250000,253.225
240.250000,41.250000,252.525
240.500000,41.250000,252.235
240.750000,41.250000,251.995
241.000000,41.250000,251.565
241.250000,41.250000,251.405
241.500000,41.250000,251.575
241.750000,41.250000,252.345
242.000000,41.250000,253.545
