Altitude,Latitude,Longitude,
0,40.85,-119.1238
1,40.8500000076,-119.123799987
5.63030190776,40.8500183578,-119.123773668
10.2606038155,40.8500367082,-119.123747348
14.8909057233,40.8500550598,-119.123721028
19.521207631,40.8500734126,-119.123694707
24.1515095388,40.8500917666,-119.123668386
28.7818114466,40.8501101219,-119.123642063
33.4121133543,40.8501284784,-119.12361574
38.0424152621,40.8501468361,-119.123589416
42.6727171698,40.8501651951,-119.123563092
47.3030190776,40.8501835553,-119.123536767
51.9333209854,40.8502019168,-119.123510441
56.5636228931,40.8502202794,-119.123484114
61.1939248009,40.8502386433,-119.123457787
65.8242267086,40.8502570085,-119.123431459
70.4545286164,40.8502753748,-119.12340513
75.0848305242,40.8502937424,-119.123378801
79.7151324319,40.8503121113,-119.12335247
84.3454343397,40.8503304813,-119.123326139
88.9757362475,40.8503488526,-119.123299808
93.6060381552,40.8503672251,-119.123273475
98.236340063,40.8503855989,-119.123247142
102.866641971,40.8504039739,-119.123220809
107.496943878,40.8504223501,-119.123194474
112.127245786,40.8504407275,-119.123168139
116.757547694,40.8504591062,-119.123141803
121.387849602,40.8504774861,-119.123115466
126.01815151,40.8504958672,-119.123089129
130.648453417,40.8505142496,-119.123062791
135.278755325,40.8505326332,-119.123036452
139.909057233,40.850551018,-119.123010112
144.539359141,40.850569404,-119.122983772
149.169661048,40.8505877913,-119.122957431
153.799962956,40.8506061798,-119.122931089
158.430264864,40.8506245695,-119.122904747
163.060566772,40.8506429605,-119.122878404
167.690868679,40.8506613527,-119.12285206
172.321170587,40.8506797461,-119.122825715
176.951472495,40.8506981407,-119.12279937
181.581774403,40.8507165366,-119.122773024
186.21207631,40.8507349337,-119.122746677
190.842378218,40.850753332,-119.12272033
195.472680126,40.8507717315,-119.122693981
200.102982034,40.8507901323,-119.122667632
204.733283941,40.8508085343,-119.122641283
209.363585849,40.8508269375,-119.122614932
213.993887757,40.850845342,-119.122588581
218.624189665,40.8508637476,-119.122562229
223.254491573,40.8508821545,-119.122535877
227.88479348,40.8509005626,-119.122509523
232.515095388,40.850918972,-119.122483169
237.145397296,40.8509373825,-119.122456814
241.775699204,40.8509557943,-119.122430459
246.406001111,40.8509742073,-119.122404102
251.036303019,40.8509926216,-119.122377745
255.666604927,40.851011037,-119.122351388
260.296906835,40.8510294537,-119.122325029
264.927208742,40.8510478716,-119.12229867
269.55751065,40.8510662907,-119.12227231
274.187812558,40.8510847111,-119.122245949
278.818114466,40.8511031327,-119.122219588
283.448416373,40.8511215554,-119.122193226
288.078718281,40.8511399795,-119.122166863
292.709020189,40.8511584047,-119.122140499
297.339322097,40.8511768312,-119.122114135
301.969624004,40.8511952588,-119.12208777
306.599925912,40.8512136877,-119.122061404
311.23022782,40.8512321179,-119.122035037
315.860529728,40.8512505492,-119.12200867
320.490831635,40.8512689818,-119.121982302
325.121133543,40.8512874155,-119.121955933
329.751435451,40.8513058505,-119.121929563
334.381737359,40.8513242868,-119.121903193
339.012039267,40.8513427242,-119.121876822
343.642341174,40.8513611628,-119.12185045
348.272643082,40.8513796027,-119.121824077
352.90294499,40.8513980438,-119.121797704
357.533246898,40.8514164861,-119.12177133
362.163548805,40.8514349297,-119.121744955
366.793850713,40.8514533744,-119.12171858
371.424152621,40.8514718204,-119.121692203
376.054454529,40.8514902676,-119.121665826
380.684756436,40.851508716,-119.121639449
385.315058344,40.8515271656,-119.12161307
389.945360252,40.8515456164,-119.121586691
394.57566216,40.8515640685,-119.121560311
399.205964067,40.8515825218,-119.12153393
403.836265975,40.8516009762,-119.121507548
408.466567883,40.8516194319,-119.121481166
413.096869791,40.8516378889,-119.121454783
417.727171698,40.851656347,-119.121428399
422.357473606,40.8516748064,-119.121402015
426.987775514,40.8516932669,-119.121375629
431.618077422,40.8517117287,-119.121349243
436.24837933,40.8517301917,-119.121322856
440.878681237,40.8517486559,-119.121296469
445.508983145,40.8517671213,-119.12127008
450.139285053,40.851785588,-119.121243691
454.769586961,40.8518040558,-119.121217302
459.399888868,40.8518225249,-119.121190911
464.030190776,40.8518409952,-119.12116452
468.660492684,40.8518594667,-119.121138127
473.290794592,40.8518779394,-119.121111735
477.921096499,40.8518964133,-119.121085341
482.551398407,40.8519148884,-119.121058947
487.181700315,40.8519333648,-119.121032551
491.812002223,40.8519518423,-119.121006155
496.44230413,40.8519703211,-119.120979759
501.072606038,40.8519888011,-119.120953361
505.702907946,40.8520072823,-119.120926963
510.333209854,40.8520257647,-119.120900564
514.963511761,40.8520442483,-119.120874164
519.593813669,40.8520627331,-119.120847764
524.224115577,40.8520812192,-119.120821363
528.854417485,40.8520997064,-119.120794961
533.484719392,40.8521181949,-119.120768558
538.1150213,40.8521366845,-119.120742154
542.745323208,40.8521551754,-119.12071575
547.375625116,40.8521736675,-119.120689345
552.005927024,40.8521921608,-119.120662939
556.636228931,40.8522106553,-119.120636532
561.266530839,40.852229151,-119.120610125
565.896832747,40.852247648,-119.120583717
570.527134655,40.8522661461,-119.120557308
575.157436562,40.8522846454,-119.120530898
579.78773847,40.852303146,-119.120504488
584.418040378,40.8523216478,-119.120478076
589.048342286,40.8523401507,-119.120451664
593.678644193,40.8523586549,-119.120425252
598.308946101,40.8523771603,-119.120398838
602.939248009,40.8523956669,-119.120372424
607.569549917,40.8524141747,-119.120346009
612.199851824,40.8524326837,-119.120319593
616.830153732,40.8524511939,-119.120293176
621.46045564,40.8524697053,-119.120266759
626.090757548,40.8524882179,-119.12024034
630.721059455,40.8525067318,-119.120213921
635.351361363,40.8525252468,-119.120187502
